"","HUC_12","AWDBYHUC","AWD_MGAL"
"970",10600010109,0,0
"971",10600010110,0,0
"972",10600010201,0,0
"973",10600010202,0,0
"974",10600010203,0,0
"975",10600010204,0,0
"976",10600010205,0,0
"977",10600010206,296,0.000296
"978",10600010301,0,0
"979",10600010302,0,0
"980",10600010303,0,0
"981",10600010304,0,0
"982",10600010305,370,0.00037
"983",10600010306,111,0.000111
"984",10600010401,0,0
"985",10600010402,74,7.4e-05
"986",10600010501,0,0
"987",10600010502,0,0
"988",10600010503,222,0.000222
"989",10600010504,0,0
"990",10600010505,0,0
"991",10600010506,0,0
"992",10600010507,0,0
"993",10600010601,0,0
"994",10600010602,0,0
"995",10600010603,0,0
"996",10600010606,0,0
"997",10600010607,0,0
"998",10600020101,0,0
"999",10600020102,0,0
"1000",10600020103,0,0
"1001",10600020104,0,0
"1002",10600020105,0,0
"1003",10600020106,0,0
"1004",10600020201,0,0
"1005",10600020202,0,0
"1006",10600020203,1976,0.001976
"1007",10600020204,0,0
"1008",10600020301,0,0
"1009",10600020302,0,0
"1010",10600020303,0,0
"1011",10600020304,14152,0.014152
"1012",10600020401,0,0
"1013",10600020402,0,0
"1014",10600020403,0,0
"1015",10600020404,56352,0.056352
"1016",10600020405,0,0
"1017",10600020406,0,0
"1018",10600020501,0,0
"1019",10600020502,0,0
"1020",10600020503,0,0
"1021",10600020504,0,0
"1022",10600020601,0,0
"1023",10600020602,0,0
"1024",10600020603,0,0
"1025",10600020604,0,0
"1026",10600020605,0,0
"1027",10600020701,0,0
"1028",10600020702,0,0
"1029",10600020703,0,0
"1030",10600020801,0,0
"1031",10600020802,0,0
"1032",10600020803,0,0
"1033",10600020804,0,0
"1034",10600020901,0,0
"1035",10600020902,0,0
"1036",10600020903,0,0
"1037",10600020904,0,0
"1038",10600021001,0,0
"1039",10600021002,0,0
"1040",10600021003,0,0
"1041",10600021004,0,0
"1042",10600021005,0,0
"1043",10600021006,0,0
"1044",10600021007,0,0
"1045",10600021101,0,0
"1046",10600021102,0,0
"1047",10600021103,0,0
"1048",10600021104,0,0
"1049",10600021105,336,0.000336
"1050",10600021106,0,0
"1051",10600030101,0,0
"1052",10600030102,0,0
"1053",10600030103,0,0
"1054",10600030104,0,0
"1055",10600030201,0,0
"1056",10600030202,0,0
"1057",10600030203,0,0
"1058",10600030204,0,0
"1059",10600030205,0,0
"1060",10600030206,0,0
"1061",10600030207,0,0
"1062",10600030301,0,0
"1063",10600030302,0,0
"1064",10600030303,0,0
"1065",10600030401,1596,0.001596
"1066",10600030402,0,0
"1067",10600030501,0,0
"1068",10600030502,0,0
"1069",10600030503,0,0
"1070",10600030504,0,0
"1071",10600030505,0,0
"1072",10600030506,0,0
"1073",10600030507,0,0
"1074",10600030601,0,0
"1075",10600030602,0,0
"1076",10600030603,282,0.000282
"1077",10600030604,0,0
"1078",10600030605,0,0
"1079",10600030606,0,0
"1080",10600030607,0,0
"1081",10600030608,0,0
"1082",10600030701,0,0
"1083",10600030702,0,0
"1084",10600030703,0,0
"1085",10600030704,0,0
"1086",10600030705,0,0
"1087",10600030706,0,0
"1088",10600030707,0,0
"1089",10600030708,0,0
"1090",10600030709,0,0
"1091",10600030801,0,0
"1092",10600030802,2112,0.002112
"1093",10600030803,0,0
"1094",10600030804,1584,0.001584
"1095",10600030805,0,0
"1096",10600030806,1232,0.001232
"1097",10600030901,528,0.000528
"1098",10600030902,0,0
"1099",10600030903,0,0
"1100",10600030904,0,0
"1101",10600031001,0,0
"1102",10600031002,0,0
"1103",10600031003,1056,0.001056
"1104",10600031004,0,0
"1105",10600031005,352,0.000352
"1106",10600031101,3486,0.003486
"1107",10600031102,0,0
"1108",10600031103,0,0
"1109",10600031104,0,0
"1110",10600031105,0,0
"1111",10600031106,0,0
"1112",10700010101,0,0
"1113",10700010102,0,0
"1114",10700010103,0,0
"1115",10700010104,0,0
"1116",10700010201,0,0
"1117",10700010202,0,0
"1118",10700010203,0,0
