"","SUM_INDGAL","HUC_12","IWD_MGAL"
"617",3736464,10700040203,3.736464
"618",366320,10700040204,0.36632
"619",1411783,10700040205,1.411783
"620",35132,10700040301,0.035132
"621",23020,10700040302,0.02302
"622",87948,10700040401,0.087948
"623",556516,10700040402,0.556516
"624",2214234,10700050101,2.214234
"625",1170722,10700050102,1.170722
"626",306166,10700050103,0.306166
"627",75966,10700050104,0.075966
"628",4134061,10700050201,4.134061
"629",883221,10700050202,0.883221
"630",112798,10700050203,0.112798
"631",516701,10700050204,0.516701
"632",136969,10700050205,0.136969
"633",143875,10700050206,0.143875
"634",8106,10700060101,0.008106
"635",11580,10700060102,0.01158
"636",21843,10700060201,0.021843
"637",59058,10700060202,0.059058
"638",37056,10700060301,0.037056
"639",181806,10700060302,0.181806
"640",46943,10700060401,0.046943
"641",11335,10700060402,0.011335
"642",23493,10700060501,0.023493
"643",31141,10700060502,0.031141
"644",45162,10700060503,0.045162
"645",3937,10700060601,0.003937
"646",23622,10700060602,0.023622
"647",19685,10700060603,0.019685
"648",7874,10700060604,0.007874
"649",74803,10700060605,0.074803
"650",47244,10700060606,0.047244
"651",200787,10700060607,0.200787
"652",20076,10700060701,0.020076
"653",38576,10700060702,0.038576
"654",318697,10700060703,0.318697
"655",26633,10700060801,0.026633
"656",556740,10700060802,0.55674
"657",370078,10700060803,0.370078
"658",198023,10700060804,0.198023
"659",45609,10700060901,0.045609
"660",74803,10700060902,0.074803
"661",31496,10700060903,0.031496
"662",51181,10700060904,0.051181
"663",188976,10700060905,0.188976
"664",409448,10700060906,0.409448
"665",405511,10700061001,0.405511
"666",265252,10700061002,0.265252
"667",30114,10700061101,0.030114
"668",348057,10700061102,0.348057
"669",228045,10700061201,0.228045
"670",194119,10700061202,0.194119
"671",301940,10700061203,0.30194
"672",55409,10700061204,0.055409
"673",114604,10700061205,0.114604
"674",486825,10700061206,0.486825
"675",334231,10700061207,0.334231
"676",222143,10700061301,0.222143
"677",169589,10700061302,0.169589
"678",128544,10700061303,0.128544
"679",159533,10700061401,0.159533
"680",248873,10700061402,0.248873
"681",166075,10700061403,0.166075
"682",166523,10700061404,0.166523
"683",552576,10801010102,0.552576
"684",368384,10801010103,0.368384
"685",184192,10801010104,0.184192
"686",368384,10801010202,0.368384
"687",368384,10801010203,0.368384
"688",736768,10801010301,0.736768
"689",184192,10801010303,0.184192
"690",1288460,10801010305,1.28846
"691",1841920,10801010401,1.84192
"692",2578688,10801010402,2.578688
"693",184192,10801010403,0.184192
"694",789268,10801010404,0.789268
"695",105000,10801010501,0.105
"696",52500,10801010601,0.0525
"697",368384,10801010602,0.368384
"698",368384,10801010603,0.368384
"699",368384,10801010703,0.368384
"700",1657728,10801010707,1.657728
