"","HUC12","ReptSpcNum"
"793",30901011602,55
"794",121101040308,48
"795",121101090503,49
"796",121003030605,64
"797",31002040204,53
"798",121004030100,73
"799",121101100503,48
"800",30901011502,50
"801",130800020105,48
"802",121004060201,55
"803",30901011603,52
"804",121004060102,54
"805",31002060402,61
"806",121101100501,47
"807",31002040203,53
"808",121101030702,49
"809",30901011303,55
"810",30802030100,58
"811",121003030604,62
"812",121101030403,46
"813",121101080205,48
"814",121101100409,47
"815",30801010103,51
"816",31002060401,57
"817",121004020303,67
"818",121101040604,48
"819",121101100506,47
"820",30901011503,52
"821",121101030306,48
"822",31002060603,62
"823",121101080402,47
"824",31002040202,52
"825",121101040307,49
"826",121003030504,54
"827",121003030505,57
"828",31002040305,55
"829",121101080105,46
"830",121101090504,48
"831",31002040303,54
"832",121101080204,47
"833",30802030201,61
"834",31002070505,64
"835",121101030405,48
"836",30801010104,57
"837",30901011601,52
"838",121101080102,47
"839",121101080103,47
"840",121101040309,49
"841",121004060101,54
"842",31002040201,53
"843",30801010105,51
"844",30901011304,56
"845",121101110103,51
"846",31001010302,54
"847",121101080203,48
"848",121003030603,59
"849",31002040205,53
"850",121101110102,53
"851",121101090501,50
"852",121101090305,48
"853",31001010303,53
"854",121002040401,66
"855",30901011403,52
"856",121101080202,47
"857",121002040304,62
"858",30802030202,60
"859",30901011501,51
"860",31002060602,60
"861",31001010304,56
"862",121003030503,53
"863",121101100406,48
"864",30901011302,56
"865",121101100404,48
"866",121002040305,62
"867",30901011405,51
"868",31002040306,57
"869",121101040310,50
"870",121004020301,64
"871",121004020304,62
"872",121101100502,48
"873",30801010203,54
"874",31002040304,54
"875",121002040302,59
"876",121003030405,53
"877",121004020206,57
"878",121003030507,56
"879",30801010201,52
"880",121101030207,49
"881",30901011301,56
"882",121002040303,55
"883",121101090406,50
"884",130800020103,50
"885",121101040605,49
"886",121101090303,49
"887",121101040305,49
"888",121101030402,47
"889",30901011404,52
"890",121101061106,46
"891",31002060302,57
"892",121101100408,48
"893",30901011401,52
"894",121101090405,49
"895",121001010404,55
"896",121003030502,51
"897",121003030602,55
"898",30802030306,61
"899",30901011203,56
"900",31002040104,54
