"","x"
"729",10300031904
"730",10300032001
"731",10300032002
"732",10300032003
"733",10300032004
"734",10300032005
"735",10300032101
"736",10300032102
"737",10300032103
"738",10300032104
"739",10300032105
"740",10300032106
"741",10300032201
"742",10300032202
"743",10300032203
"744",10300032204
"745",10300032205
"746",10300032301
"747",10300032302
"748",10300032303
"749",10300032304
"750",10300032305
"751",10300032306
"752",10300032307
"753",10300032308
"754",10300032309
"755",10300032401
"756",10300032402
"757",10300032403
"758",10300032404
"759",10300032405
"760",10300032406
"761",10300032407
"762",10300032408
"763",10300032409
"764",10400010101
"765",10400010102
"766",10400010103
"767",10400010104
"768",10400010105
"769",10400010106
"770",10400010107
"771",10400010108
"772",10400010109
"773",10400010110
"774",10400010201
"775",10400010202
"776",10400010203
"777",10400010301
"778",10400010302
"779",10400010303
"780",10400010304
"781",10400010305
"782",10400010306
"783",10400010401
"784",10400010402
"785",10400010403
"786",10400010404
"787",10400010405
"788",10400010406
"789",10400010501
"790",10400010502
"791",10400010601
"792",10400010602
"793",10400010603
"794",10400010604
"795",10400010605
"796",10400010606
"797",10400010607
"798",10400020101
"799",10400020102
"800",10400020103
"801",10400020201
"802",10400020202
"803",10400020203
"804",10400020204
"805",10400020205
"806",10400020206
"807",10400020207
"808",10400020301
"809",10400020302
"810",10400020303
"811",10400020304
"812",10400020305
"813",10400020401
"814",10400020402
"815",10400020403
"816",10400020404
"817",10400020405
"818",10400020406
"819",10400020501
"820",10400020502
"821",10400020503
"822",10400020504
"823",10400020505
"824",10400020601
"825",10400020602
"826",10400020603
"827",10400020604
"828",10400020605
"829",10400020606
"830",10400020701
"831",10400020702
"832",10400020703
"833",10400020704
"834",10400020801
"835",10400020802
"836",10400020803
"837",10400020901
"838",10400020902
"839",10400020903
"840",10400020904
"841",10400020905
"842",10400020906
"843",10400020907
"844",10400020908
"845",10400020909
"846",10400020910
"847",10400021001
"848",10400021002
"849",10400021003
"850",10400021004
"851",10400021005
"852",10400021006
"853",10400021007
"854",10500010101
"855",10500010102
"856",10500010201
"857",10500010202
"858",10500010203
"859",10500010204
"860",10500010205
"861",10500010206
"862",10500010207
"863",10500010301
"864",10500010302
"865",10500010303
"866",10500010304
"867",10500010305
"868",10500010306
"869",10500010307
"870",10500010401
"871",10500010402
"872",10500010403
"873",10500010404
"874",10500010501
"875",10500010502
"876",10500010503
"877",10500010504
"878",10500010505
"879",10500010506
"880",10500010601
"881",10500010602
"882",10500010603
"883",10500010604
"884",10500010605
"885",10500010606
"886",10500010701
"887",10500010702
"888",10500010703
"889",10500010704
"890",10500010705
"891",10500010706
"892",10500010707
"893",10500010708
"894",10500010801
"895",10500010802
"896",10500010803
"897",10500010804
"898",10500010805
"899",10500010806
"900",10500010807
"901",10500010808
"902",10500010809
"903",10500010810
"904",10500020101
"905",10500020102
"906",10500020103
"907",10500020104
"908",10500020201
"909",10500020202
"910",10500020301
"911",10500020302
"912",10500020303
"913",10500020304
"914",10500020305
"915",10500020306
"916",10500020307
"917",10500020308
"918",10500020309
"919",10500020310
"920",10500020401
"921",10500020402
"922",10500020403
"923",10500020404
"924",10500020501
"925",10500020502
"926",10500020503
"927",10500020504
"928",10500020505
"929",10500020601
"930",10500020602
"931",10500020701
"932",10500020702
"933",10500020703
"934",10500020801
"935",10500020802
"936",10500020803
"937",10500020901
"938",10500020902
"939",10500020903
"940",10500020904
"941",10500021001
"942",10500021002
"943",10500021003
"944",10500021101
"945",10500021102
"946",10500021103
"947",10500021104
"948",10500021105
"949",10500021201
"950",10500021202
"951",10500021203
"952",10500021204
"953",10500021205
"954",10500021206
"955",10500021207
"956",10500021208
"957",10500021301
"958",10500021302
"959",10500021303
"960",10500021304
"961",10500021305
"962",10500021306
"963",10500021307
"964",10500021308
"965",10500021401
"966",10500021402
"967",10500021403
"968",10500021404
"969",10500021405
"970",10500021406
"971",10500021407
"972",10500021408
"973",10500021409
"974",10500021410
"975",10500021411
"976",10500021501
"977",10500021502
"978",10500021503
"979",10500021504
"980",10500021505
"981",10500021506
"982",10500021507
"983",10500021508
"984",10500021509
"985",10500021510
"986",10500021511
"987",10500021512
"988",10500021513
"989",10500021514
"990",10500021515
"991",10500021601
"992",10500021602
"993",10500021603
"994",10500021604
"995",10500021701
"996",10500021702
"997",10500021703
"998",10500021704
"999",10500021705
"1000",10500021706
"1001",10500021707
"1002",10500021708
"1003",10500021709
"1004",10500021710
"1005",10500021801
"1006",10500021802
"1007",10500021803
"1008",10500021804
"1009",10500021805
"1010",10500021806
"1011",10500021807
"1012",10500021808
"1013",10500021809
"1014",10500021901
"1015",10500021902
"1016",10500022001
"1017",10500022002
"1018",10500022003
"1019",10500022101
"1020",10500022102
"1021",10500022103
"1022",10500022201
"1023",10500022202
"1024",10500022203
"1025",10500022204
"1026",10500022205
"1027",10500022206
"1028",10500022207
"1029",10500022208
"1030",10500022209
"1031",10500030101
"1032",10500030102
"1033",10500030103
"1034",10500030104
"1035",10500030105
"1036",10500030106
"1037",10500030107
"1038",10500030201
"1039",10500030202
"1040",10500030203
"1041",10500030204
"1042",10500030205
"1043",10500030206
"1044",10500030301
"1045",10500030302
